Fare,Pclass,AgeGroup,Sex_female,Sex_male,Embarked_C,FamilyCategory_Small,Survived
28.5,1,2.0,0,1,0,0,0
13.0,2,4.0,0,1,0,0,0
7.925,3,0.0,0,1,0,0,0
7.8542,3,4.0,0,1,0,1,0
31.275,3,1.0,1,0,0,0,0
247.5208,1,4.0,0,1,1,1,0
26.55,1,0.0,0,1,0,0,0
27.7208,2,4.0,0,1,1,1,0
7.8958,3,4.0,0,1,0,0,0
35.5,1,4.0,0,1,0,0,1
13.0,2,0.0,1,0,0,0,1
24.15,3,0.0,0,1,0,1,0
12.275,2,0.0,0,1,0,0,0
7.0542,3,3.0,0,1,0,1,0
9.5,3,4.0,0,1,0,0,1
26.0,2,2.0,1,0,0,1,1
90.0,1,0.0,1,0,0,1,1
227.525,1,0.0,1,0,1,0,1
13.0,2,0.0,0,1,0,0,0
57.0,1,3.0,1,0,0,1,1
31.275,3,1.0,1,0,0,0,0
6.2375,3,2.0,0,1,0,0,0
8.6625,3,4.0,1,0,0,0,0
26.25,2,1.0,1,0,0,1,1
9.5875,3,2.0,1,0,0,0,1
7.2292,3,4.0,0,1,1,0,1
22.3583,3,4.0,1,0,1,1,1
9.4833,3,4.0,0,1,0,0,0
120.0,1,0.0,0,1,0,0,1
14.4583,3,4.0,0,1,1,0,0
8.05,3,2.0,0,1,0,0,0
211.5,1,4.0,0,1,1,1,0
7.25,3,4.0,0,1,0,0,0
90.0,1,0.0,1,0,0,1,1
7.725,3,4.0,0,1,0,0,0
25.4667,3,4.0,1,0,0,0,0
21.075,3,1.0,0,1,0,0,0
30.0,2,4.0,1,0,0,1,1
61.3792,1,2.0,0,1,1,1,0
26.0,2,4.0,1,0,0,1,1
7.25,3,4.0,0,1,0,0,0
7.8958,3,4.0,0,1,0,0,0
13.0,2,4.0,1,0,0,0,0
20.2125,3,3.0,0,1,0,1,0
30.5,1,4.0,0,1,0,0,1
7.05,3,4.0,0,1,0,0,0
14.5,2,4.0,1,0,0,1,1
7.5208,3,4.0,0,1,0,0,0
151.55,1,1.0,0,1,0,0,1
26.0,2,4.0,1,0,0,1,1
7.925,3,4.0,1,0,0,0,1
21.0,2,0.0,0,1,0,1,0
262.375,1,4.0,1,0,1,0,1
